S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
1565,"1,166.33","1,198.18","1,166.33","1,198.18",32.21,2.76,"756,868,992.00",2018-12-23
1566,"1,162.65","1,173.80","1,162.65","1,165.97",3.27,0.28,"393,798,016.00",2018-12-20
1567,"1,168.29","1,171.58","1,158.88","1,162.70",-5.47,-0.47,"342,703,008.00",2018-12-19
1568,"1,183.12","1,185.36","1,165.59","1,168.17",-14.61,-1.24,"512,580,992.00",2018-12-18
1569,"1,167.55","1,182.81","1,166.06","1,182.78",15.11,1.29,"360,561,984.00",2018-12-17
1570,"1,149.23","1,168.59","1,149.23","1,167.67",18.89,1.64,"437,036,992.00",2018-12-16
1571,"1,141.25","1,153.17","1,140.54","1,148.78",7.60,0.67,"298,800,000.00",2018-12-13
1572,"1,140.83","1,143.70","1,137.67","1,141.18",0.08,0.01,"208,110,000.00",2018-12-12
1573,"1,143.85","1,145.75","1,139.95","1,141.10",-3.09,-0.27,"370,360,992.00",2018-12-11
1574,"1,131.43","1,145.61","1,131.43","1,144.19",12.49,1.10,"386,500,000.00",2018-12-10
1575,"1,121.16","1,128.45","1,121.10","1,131.70",10.86,0.97,"218,708,992.00",2018-12-09
1576,"1,117.97","1,126.00","1,109.32","1,120.84",2.71,0.24,"338,912,992.00",2018-12-06
1577,"1,140.99","1,142.06","1,117.45","1,118.13",-23.82,-2.09,"329,556,992.00",2018-12-05
1578,"1,133.00","1,142.01","1,131.15","1,142.01",10.28,0.91,"363,332,992.00",2018-12-04
1579,"1,130.31","1,144.00","1,128.91","1,131.73",0.90,0.08,"622,254,976.00",2018-12-03
1580,"1,148.29","1,148.36","1,129.89","1,130.89",-17.47,-1.52,"451,952,000.00",2018-12-02
1581,"1,159.07","1,160.42","1,148.13","1,148.36",-10.72,-0.92,"314,926,016.00",2018-11-29
1582,"1,161.50","1,162.98","1,158.75","1,159.08",-2.41,-0.21,"396,228,000.00",2018-11-28
1583,"1,159.75","1,167.17","1,159.75","1,161.49",1.67,0.14,"218,848,992.00",2018-11-27
1584,"1,166.59","1,167.19","1,159.31","1,159.82",-6.81,-0.58,"293,713,984.00",2018-11-26
1585,"1,181.96","1,182.44","1,166.01","1,166.63",-14.62,-1.24,"244,220,992.00",2018-11-25
1586,"1,184.01","1,184.92","1,181.34","1,181.24",-1.31,-0.11,"248,907,008.00",2018-11-22
1587,"1,182.17","1,182.74","1,176.45","1,182.55",0.80,0.07,"227,711,008.00",2018-11-21
1588,"1,189.97","1,190.15","1,181.66","1,181.75",-8.45,-0.72,"171,414,000.00",2018-11-20
1589,"1,196.08","1,196.15","1,187.96","1,190.20",-5.25,-0.44,"207,570,000.00",2018-11-19
1590,"1,203.94","1,204.79","1,194.18","1,195.45",-9.57,-0.79,"319,399,008.00",2018-11-18
1591,"1,208.89","1,213.63","1,205.20","1,205.02",-3.88,-0.32,"236,074,000.00",2018-11-15
1592,"1,208.28","1,209.23","1,203.58","1,208.89",1.32,0.11,"178,260,736.00",2018-11-14
1593,"1,192.87","1,209.10","1,191.72","1,207.57",14.24,1.19,"166,104,000.00",2018-11-13
1594,"1,204.64","1,204.64","1,192.22","1,193.34",-11.88,-0.99,"132,057,000.00",2018-11-12
1595,"1,224.39","1,224.39","1,205.22","1,205.22",-17.31,-1.42,"98,566,496.00",2018-11-11
1596,"1,222.53","1,222.53","1,222.53","1,222.53",3.33,0.27,"33,213,900.00",2018-11-06
1597,"1,207.28","1,219.75","1,205.81","1,219.20",11.92,0.99,"239,046,000.00",2018-11-05
1598,"1,220.98","1,221.22","1,206.48","1,207.28",-13.70,-1.12,"280,206,016.00",2018-11-04
1599,"1,221.46","1,223.76","1,217.46","1,220.98",-0.48,-0.04,"241,964,000.00",2018-11-01
1600,"1,224.36","1,224.99","1,218.83","1,221.46",-2.90,-0.24,"158,274,000.00",2018-10-31
1601,"1,216.93","1,224.36","1,216.00","1,224.36",7.43,0.61,"213,728,000.00",2018-10-30
1602,"1,227.49","1,227.49","1,215.82","1,216.93",-10.56,-0.86,"214,403,008.00",2018-10-29
1603,"1,241.11","1,241.82","1,225.38","1,227.49",-13.62,-1.10,"300,731,008.00",2018-10-28
1604,"1,249.93","1,250.30","1,240.58","1,241.11",-8.82,-0.71,"270,716,000.00",2018-10-25
1605,"1,241.84","1,250.45","1,239.01","1,249.93",8.09,0.65,"218,378,000.00",2018-10-24
1606,"1,244.54","1,246.22","1,238.63","1,241.84",-2.70,-0.22,"192,782,000.00",2018-10-23
1607,"1,246.52","1,248.09","1,240.58","1,244.54",-1.98,-0.16,"167,090,000.00",2018-10-22
1608,"1,241.63","1,248.51","1,241.15","1,246.52",4.89,0.39,"136,048,000.00",2018-10-21
1609,"1,242.43","1,246.14","1,241.48","1,241.63",-0.80,-0.06,"306,736,992.00",2018-10-15
1610,"1,228.28","1,242.43","1,228.16","1,242.43",14.15,1.15,"265,802,000.00",2018-10-14
1611,"1,218.33","1,228.28","1,214.77","1,228.28",9.95,0.82,"231,244,000.00",2018-10-11
1612,"1,217.93","1,218.86","1,213.58","1,218.33",0.40,0.03,"218,171,008.00",2018-10-10
1613,"1,220.52","1,227.07","1,217.06","1,217.93",-2.59,-0.21,"336,793,984.00",2018-10-09
1614,"1,214.36","1,222.78","1,213.36","1,220.52",6.16,0.51,"360,992,992.00",2018-10-08
1615,"1,227.37","1,227.37","1,212.88","1,214.36",-13.01,-1.06,"378,448,000.00",2018-10-07
1616,"1,230.60","1,231.84","1,221.33","1,227.37",-3.23,-0.26,"365,169,984.00",2018-10-04
1617,"1,241.36","1,242.27","1,230.60","1,230.60",-10.76,-0.87,"365,169,984.00",2018-10-03
1618,"1,238.67","1,247.44","1,237.53","1,241.36",2.69,0.22,"440,748,992.00",2018-10-02
1619,"1,256.71","1,258.26","1,237.97","1,238.67",-18.04,-1.44,"524,752,000.00",2018-10-01
1620,"1,267.18","1,267.76","1,253.44","1,256.71",-10.47,-0.83,"561,558,976.00",2018-09-30
1621,"1,277.74","1,278.71","1,266.18","1,267.18",-10.56,-0.83,"492,740,992.00",2018-09-27
1622,"1,280.05","1,288.52","1,270.05","1,277.74",-2.31,-0.18,"890,030,016.00",2018-09-26
1623,"1,257.68","1,283.45","1,257.74","1,280.05",22.37,1.78,"1,051,049,984.00",2018-09-25
1624,"1,255.09","1,260.39","1,250.90","1,257.68",2.61,0.21,"618,721,024.00",2018-09-23
1625,"1,258.81","1,260.96","1,249.78","1,255.07",-3.74,-0.30,"528,860,992.00",2018-09-20
1626,"1,256.40","1,261.61","1,251.25","1,258.81",2.41,0.19,"440,420,000.00",2018-09-18
1627,"1,256.55","1,261.19","1,247.90","1,256.40",-0.13,-0.01,"579,804,992.00",2018-09-17
1628,"1,244.84","1,270.19","1,244.99","1,256.53",11.69,0.94,"886,097,024.00",2018-09-16
1629,"1,230.71","1,246.24","1,230.80","1,244.84",14.13,1.15,"687,436,992.00",2018-09-13
